AWS App Name,Action Name,Connector Activity Name,Browser and API Traffic
Amazon API Gateway,UpdateStage,Edit,Yes
Amazon API Gateway,GetStage,View,Yes
Amazon API Gateway,DeleteStage,Delete,Yes
Amazon API Gateway,GenerateClientCertificate,Create,Yes
Amazon API Gateway,GetClientCertificates,View,Yes
Amazon API Gateway,GetGatewayResponses,View,Yes
Amazon API Gateway,CreateUsagePlan,Create,Yes
Amazon API Gateway,GetUsagePlans,View,Yes
Amazon API Gateway,CreateApiKey,Create,Yes
Amazon API Gateway,GetApiKeys,View,Yes
Amazon API Gateway,PutIntegrationResponse,Edit,Yes
Amazon API Gateway,UpdateIntegrationResponse,Edit,Yes
Amazon API Gateway,GetIntegrationResponse,View,Yes
Amazon API Gateway,DeleteIntegrationResponse,Delete,Yes
Amazon API Gateway,UpdateUsage,Edit,Yes
Amazon API Gateway,UpdateApiKey,Edit,Yes
Amazon API Gateway,GetApiKey,View,Yes
Amazon API Gateway,DeleteApiKey,Delete,Yes
Amazon API Gateway,FlushStageCache,Delete,Yes
Amazon API Gateway,UpdateClientCertificate,Edit,Yes
Amazon API Gateway,GetClientCertificate,View,Yes
Amazon API Gateway,DeleteClientCertificate,Delete,Yes
Amazon API Gateway,UpdateResource,Edit,Yes
Amazon API Gateway,GetResource,View,Yes
Amazon API Gateway,DeleteResource,Delete,Yes
Amazon API Gateway,ImportDocumentationParts,Create,Yes
Amazon API Gateway,CreateDocumentationPart,Create,Yes
Amazon API Gateway,GetDocumentationParts,View,Yes
Amazon API Gateway,UpdateDeployment,Edit,Yes
Amazon API Gateway,GetDeployment,View,Yes
Amazon API Gateway,DeleteDeployment,Delete,Yes
Amazon API Gateway,CreateStage,Create,Yes
Amazon API Gateway,GetStages,View,Yes
Amazon API Gateway,UpdateDocumentationPart,Edit,Yes
Amazon API Gateway,GetDocumentationPart,View,Yes
Amazon API Gateway,DeleteDocumentationPart,Delete,Yes
Amazon API Gateway,UpdateAuthorizer,Edit,Yes
Amazon API Gateway,TestInvokeAuthorizer,Create,Yes
Amazon API Gateway,GetAuthorizer,View,Yes
Amazon API Gateway,DeleteAuthorizer,Delete,Yes
Amazon API Gateway,CreateAuthorizer,Create,Yes
Amazon API Gateway,GetAuthorizers,View,Yes
Amazon API Gateway,UpdateDocumentationVersion,Edit,Yes
Amazon API Gateway,GetDocumentationVersion,View,Yes
Amazon API Gateway,DeleteDocumentationVersion,Delete,Yes
Amazon API Gateway,GetSdkTypes,View,Yes
Amazon API Gateway,UpdateModel,Edit,Yes
Amazon API Gateway,GetModel,View,Yes
Amazon API Gateway,DeleteModel,Delete,Yes
Amazon API Gateway,CreateVpcLink,Create,Yes
Amazon API Gateway,GetVpcLinks,View,Yes
Amazon API Gateway,CreateRestApi,Create,Yes
Amazon API Gateway,GetRestApis,View,Yes
Amazon API Gateway,UpdateRequestValidator,Edit,Yes
Amazon API Gateway,GetRequestValidator,View,Yes
Amazon API Gateway,DeleteRequestValidator,Delete,Yes
Amazon API Gateway,ImportApiKeys,Create,Yes
Amazon API Gateway,GetMethod,View,Yes
Amazon API Gateway,UpdateMethod,Edit,Yes
Amazon API Gateway,PutMethod,Edit,Yes
Amazon API Gateway,TestInvokeMethod,Create,Yes
Amazon API Gateway,DeleteMethod,Delete,Yes
Amazon API Gateway,CreateUsagePlanKey,Create,Yes
Amazon API Gateway,GetUsagePlanKeys,View,Yes
Amazon API Gateway,UpdateVpcLink,Edit,Yes
Amazon API Gateway,GetVpcLink,View,Yes
Amazon API Gateway,DeleteVpcLink,Delete,Yes
Amazon API Gateway,GetUsagePlanKey,View,Yes
Amazon API Gateway,DeleteUsagePlanKey,Delete,Yes
Amazon API Gateway,CreateDocumentationVersion,Create,Yes
Amazon API Gateway,GetDocumentationVersions,View,Yes
Amazon API Gateway,GetModelTemplate,View,Yes
Amazon API Gateway,CreateRequestValidator,Create,Yes
Amazon API Gateway,GetRequestValidators,View,Yes
Amazon API Gateway,UpdateBasePathMapping,Edit,Yes
Amazon API Gateway,GetBasePathMapping,View,Yes
Amazon API Gateway,DeleteBasePathMapping,Delete,Yes
Amazon API Gateway,GetExport,View,Yes
Amazon API Gateway,PutRestApi,Edit,Yes
Amazon API Gateway,UpdateRestApi,Edit,Yes
Amazon API Gateway,GetRestApi,View,Yes
Amazon API Gateway,DeleteRestApi,Delete,Yes
Amazon API Gateway,PutMethodResponse,Edit,Yes
Amazon API Gateway,UpdateMethodResponse,Edit,Yes
Amazon API Gateway,GetMethodResponse,View,Yes
Amazon API Gateway,DeleteMethodResponse,Delete,Yes
Amazon API Gateway,UpdateUsagePlan,Edit,Yes
Amazon API Gateway,GetUsagePlan,View,Yes
Amazon API Gateway,DeleteUsagePlan,Delete,Yes
Amazon API Gateway,GetUsage,View,Yes
Amazon API Gateway,UpdateAccount,Edit,Yes
Amazon API Gateway,GetAccount,View,Yes
Amazon API Gateway,UntagResource,Delete,Yes
Amazon API Gateway,GetResources,View,Yes
Amazon API Gateway,CreateResource,Create,Yes
Amazon API Gateway,TagResource,Create,Yes
Amazon API Gateway,GetTags,View,Yes
Amazon API Gateway,FlushStageAuthorizersCache,Delete,Yes
Amazon API Gateway,ImportRestApi,Create,Yes
Amazon API Gateway,CreateDomainName,Create,Yes
Amazon API Gateway,GetDomainNames,View,Yes
Amazon API Gateway,UpdateDomainName,Edit,Yes
Amazon API Gateway,GetDomainName,View,Yes
Amazon API Gateway,DeleteDomainName,Delete,Yes
Amazon API Gateway,CreateDeployment,Create,Yes
Amazon API Gateway,GetDeployments,View,Yes
Amazon API Gateway,GetSdkType,View,Yes
Amazon API Gateway,PutGatewayResponse,Edit,Yes
Amazon API Gateway,UpdateGatewayResponse,Edit,Yes
Amazon API Gateway,GetGatewayResponse,View,Yes
Amazon API Gateway,DeleteGatewayResponse,Delete,Yes
Amazon API Gateway,PutIntegration,Edit,Yes
Amazon API Gateway,UpdateIntegration,Edit,Yes
Amazon API Gateway,GetIntegration,View,Yes
Amazon API Gateway,DeleteIntegration,Delete,Yes
Amazon API Gateway,CreateModel,Create,Yes
Amazon API Gateway,GetModels,View,Yes
Amazon API Gateway,GetSdk,View,Yes
Amazon API Gateway,CreateBasePathMapping,Create,Yes
Amazon API Gateway,GetBasePathMappings,View,Yes
Amazon API Gateway Management API,PostToConnection,Create,Yes
Amazon API Gateway Management API,GetConnection,View,Yes
